Week,17_18_n,17_18_ASR,18_19_n,18_19_ASR,19_20_n,19-20_ASR
01-Sep,235,2.5061281806159257,238,2.530568892404182,258,2.6745216679439867
08-Sep,198,2.107037037524424,242,2.5363047795538756,222,2.2694173836221108
15-Sep,220,2.310169679430462,223,2.3405144384419647,273,2.8245252343178127
22-Sep,183,1.9341544139525457,238,2.4953201797466096,216,2.236997138033691
29-Sep,179,1.9604981220384046,233,2.5319338893088306,250,2.568182125485809
06-Oct,189,2.0156099560838516,214,2.2362820920552355,234,2.457379555327558
13-Oct,164,1.7203300805278785,233,2.46986069046445,272,2.7990562124134146
20-Oct,184,1.992867463157767,220,2.3662605610191196,243,2.4951843109329697
27-Oct,167,1.8338389341575092,208,2.201512940776928,231,2.3659880836598983
03-Nov,171,1.8428876368954976,230,2.409518482599697,210,2.1050885968402744
10-Nov,169,1.8384646184298594,213,2.2710757654655973,225,2.3360584544409266
17-Nov,187,2.0521276118566747,227,2.3881151692384566,209,2.1846862096115096
24-Nov,206,2.2854019956657203,234,2.4477904144613123,228,2.344692737697642
01-Dec,190,2.022957409005501,244,2.5560962272270906,235,2.4017383743830534
08-Dec,198,2.17841299259075,250,2.6198231440744397,247,2.5810080280473744
15-Dec,177,1.9233445444519701,239,2.508249433008416,237,2.4554738342282985
22-Dec,168,1.8021889420128416,219,2.2316846736012637,227,2.322957116692795
29-Dec,205,2.2001842051565053,237,2.50163402835658,257,2.6926905059889563
05-Jan,200,2.129156472445598,200,2.136831763987767,217,2.255033929151305
12-Jan,209,2.2337021129422547,190,1.9782680521033569,211,2.1952339262911478
19-Jan,182,1.9306795903566547,234,2.459822629735382,270,2.831525201313396
26-Jan,185,2.0173236826233243,219,2.2887756769241197,222,2.3647097427045978
02-Feb,196,2.0659027637152474,182,1.929059848525807,226,2.360833726287344
09-Feb,201,2.152631481432449,201,2.1083231614063784,241,2.5454269566666454
16-Feb,172,1.8492882307337422,231,2.464635960527154,225,2.3489966466304244
23-Feb,206,2.216655275692508,218,2.3724381111787527,209,2.1599810219186755
