scientific,common,distribution,type,status,migratory,states
Bertmainius colonus,Eastern Stirling Range Pygmy Trapdoor Spider,>80%,Spider,Vulnerable,0,WA
Sminthopsis griseoventer aitkeni  (listed as Sminthopsis aitkeni),Kangaroo Island Dunnart,>80%,Mammal,Endangered,0,SA
Atrichornis rufescens,Rufous Scrub-bird,50 to <80%,Bird,Endangered,0,"NSW, Qld"
Calyptorhynchus lathami halmaturinus,"Glossy Black-Cockatoo (Kangaroo Island), Glossy Black-Cockatoo (South Australian)",50 to <80%,Bird,Endangered,0,SA
Eulamprus leuraensis,Blue Mountains Water Skink,50 to <80%,Reptile,Endangered,0,NSW
Hoplocephalus bungaroides,Broad-headed Snake,50 to <80%,Reptile,Vulnerable,0,NSW
Litoria littlejohni,"Littlejohn's Tree Frog, Heath Frog",50 to <80%,Frog,Vulnerable,0,"NSW, Vic"
Maccullochella ikei,"Clarence River Cod, Eastern Freshwater Cod",50 to <80%,Fish,Endangered,0,NSW
Mixophyes balbus,"Stuttering Frog, Southern Barred Frog (in Victoria)",50 to <80%,Frog,Vulnerable,0,"NSW, Vic"
Potorous longipes,Long-footed Potoroo,50 to <80%,Mammal,Endangered,0,"NSW, Vic"
Pseudococcus markharveyi,Banksia montana mealybug,50 to <80%,Insect,Critically Endangered,0,WA
Pseudomys oralis,"Hastings River Mouse, Koontoo",50 to <80%,Mammal,Endangered,0,"NSW, Qld"
Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna,50 to <80%,Mammal,Endangered,0,SA
Zoothera lunulata halmaturina,Bassian Thrush (South Australian),50 to <80%,Bird,Vulnerable,0,SA
Dasyornis brachypterus,Eastern Bristlebird,30 to <50%,Bird,Endangered,0,"NSW, Qld, Vic"
Heleioporus australiacus,Giant Burrowing Frog,30 to <50%,Frog,Vulnerable,0,"NSW, Vic"
Litoria piperata,Peppered Tree Frog,30 to <50%,Frog,Vulnerable,0,NSW
Litoria verreauxii alpina,"Alpine Tree Frog, Verreaux's Alpine Tree Frog",30 to <50%,Frog,Vulnerable,0,"ACT, NSW, Vic"
Macquaria australasica,Macquarie Perch,30 to <50%,Fish,Endangered,0,"ACT, NSW, Vic"
Mixophyes iteratus,"Giant Barred Frog, Southern Barred Frog",30 to <50%,Frog,Endangered,0,"NSW, Qld"
Nannoperca oxleyana,Oxleyan Pygmy Perch,30 to <50%,Fish,Endangered,0,"NSW, Qld"
Petrogale penicillata,Brush-tailed Rock-wallaby,30 to <50%,Mammal,Vulnerable,0,"NSW, Qld, Vic"
Potorous tridactylus tridactylus,Long-nosed Potoroo (SE Mainland),30 to <50%,Mammal,Vulnerable,0,"NSW, Qld, SA, Tas, Vic"
Pseudomys novaehollandiae,"New Holland Mouse, Pookila",30 to <50%,Mammal,Vulnerable,0,"NSW, Qld, Tas, Vic"
Trioza barrettae,Banksia brownii plant louse,30 to <50%,Insect,Endangered,0,WA
