Week,17_18_n,17_18_ASR,18_19_n,18_19_ASR,19_20_n,19-20_ASR
01-Sep,176,1.835,167,1.6826,217,2.1805
08-Sep,146,1.5916,186,1.8784,182,1.8121
15-Sep,156,1.6484,190,1.974,183,1.8161
22-Sep,147,1.5791,191,1.9618,179,1.7806
29-Sep,127,1.3378,175,1.7989,173,1.7022
06-Oct,109,1.1371,195,2.0148,202,2.0063
13-Oct,93,0.9696,177,1.8202,176,1.7479
20-Oct,80,0.8423,185,1.899,180,1.778
27-Oct,101,1.0614,168,1.7142,184,1.8379
03-Nov,83,0.8766,177,1.7908,199,1.9694
10-Nov,104,1.1077,158,1.6076,194,1.9546
17-Nov,84,0.8763,155,1.5809,223,2.228
24-Nov,105,1.0977,150,1.5076,174,1.7317
01-Dec,77,0.8035,158,1.6583,218,2.1656
08-Dec,78,0.8345,167,1.7129,212,2.1135
15-Dec,91,0.9467,157,1.6028,188,1.874
22-Dec,106,1.121,172,1.7465,211,2.1045
29-Dec,95,1.0058,181,1.8509,249,2.4789
05-Jan,82,0.8827,152,1.5627,212,2.103
12-Jan,86,0.9194,112,1.1454,186,1.8781
19-Jan,81,0.8504,147,1.5218,198,2.0175
26-Jan,60,0.6275,124,1.2661,171,1.6959
02-Feb,68,0.726,131,1.3368,172,1.7271
09-Feb,86,0.917,144,1.4643,155,1.5222
16-Feb,73,0.791,148,1.5284,162,1.656
23-Feb,73,0.7758,116,1.2004,152,1.4892
