SA4_code,SA4_name,Week,18_19_n,19_20_n
101,Capital Region,02-Sep,2630,2622
101,Capital Region,09-Sep,2427,2521
101,Capital Region,16-Sep,2547,2586
101,Capital Region,23-Sep,2599,2540
101,Capital Region,30-Sep,2416,2713
101,Capital Region,07-Oct,2332,2397
101,Capital Region,14-Oct,2385,2579
101,Capital Region,21-Oct,2576,2535
101,Capital Region,28-Oct,2730,2609
101,Capital Region,04-Nov,2547,2485
101,Capital Region,11-Nov,2534,2808
101,Capital Region,18-Nov,2678,2939
101,Capital Region,25-Nov,2465,3073
101,Capital Region,02-Dec,2514,3067
101,Capital Region,09-Dec,2513,3642
101,Capital Region,16-Dec,3032,4319
101,Capital Region,23-Dec,2665,3760
101,Capital Region,30-Dec,2478,6211
101,Capital Region,06-Jan,2320,4107
101,Capital Region,13-Jan,2213,2751
101,Capital Region,20-Jan,2140,2525
101,Capital Region,27-Jan,2247,2641
101,Capital Region,03-Feb,2233,2301
101,Capital Region,10-Feb,2504,2192
101,Capital Region,17-Feb,2318,2279
101,Capital Region,24-Feb,2415,2527
102,Central Coast,02-Sep,4645,4856
102,Central Coast,09-Sep,4451,5015
102,Central Coast,16-Sep,4358,4826
102,Central Coast,23-Sep,4482,4805
102,Central Coast,30-Sep,4341,4726
102,Central Coast,07-Oct,4222,4534
102,Central Coast,14-Oct,4291,4794
102,Central Coast,21-Oct,4431,4546
102,Central Coast,28-Oct,4427,5333
102,Central Coast,04-Nov,4669,4978
102,Central Coast,11-Nov,4646,6375
102,Central Coast,18-Nov,5300,6247
102,Central Coast,25-Nov,4697,5366
102,Central Coast,02-Dec,4823,7088
102,Central Coast,09-Dec,4855,6537
102,Central Coast,16-Dec,5526,6560
102,Central Coast,23-Dec,5004,6077
102,Central Coast,30-Dec,4468,5628
102,Central Coast,06-Jan,4161,4590
102,Central Coast,13-Jan,3941,4447
102,Central Coast,20-Jan,4119,4061
102,Central Coast,27-Jan,4088,4043
102,Central Coast,03-Feb,4193,4087
102,Central Coast,10-Feb,4459,4095
102,Central Coast,17-Feb,4333,4013
102,Central Coast,24-Feb,4320,4731
103,Central West,02-Sep,2678,2765
103,Central West,09-Sep,2739,2763
103,Central West,16-Sep,2676,2693
103,Central West,23-Sep,2722,2567
103,Central West,30-Sep,2588,2650
103,Central West,07-Oct,2481,2373
103,Central West,14-Oct,2428,2617
103,Central West,21-Oct,2536,2653
103,Central West,28-Oct,2645,2701
103,Central West,04-Nov,2731,2557
103,Central West,11-Nov,2678,3072
103,Central West,18-Nov,2790,3460
103,Central West,25-Nov,2691,2847
103,Central West,02-Dec,2594,2780
103,Central West,09-Dec,2863,4418
103,Central West,16-Dec,3185,4638
103,Central West,23-Dec,2250,3377
103,Central West,30-Dec,2167,2893
103,Central West,06-Jan,2055,2574
103,Central West,13-Jan,1945,2392
103,Central West,20-Jan,2070,2381
