Week,17_18_n,17_18_ASR,18_19_n,18_19_ASR,19_20_n,19-20_ASR
01-Sep,687,7.846420804042125,701,8.1332,773,8.8406
08-Sep,697,8.006510649093777,738,8.6096,758,8.651
15-Sep,652,7.523104592525286,713,8.1818,749,8.6074
22-Sep,674,7.855317328461307,709,8.2906,777,8.9203
29-Sep,631,7.337755237772604,668,7.7956,775,8.8677
06-Oct,615,7.115860488768913,674,7.7211,779,8.8524
13-Oct,597,7.093399258431278,737,8.4633,738,8.3573
20-Oct,675,8.122679342507796,672,7.7526,731,8.4222
27-Oct,725,8.62333164671937,686,7.9175,716,8.2609
03-Nov,594,7.079332939024705,683,8.0334,714,8.1486
10-Nov,677,7.992030517720506,668,7.8177,741,8.4621
17-Nov,579,6.873755208032846,684,7.9224,755,8.7144
24-Nov,602,7.035054888812867,663,7.6606,776,8.908
01-Dec,554,6.545293012028481,688,7.9693,752,8.7912
08-Dec,671,8.048835268437468,669,7.7163,830,9.5161
15-Dec,619,7.2729822485947295,646,7.382,770,8.7851
22-Dec,661,7.799771953633643,718,8.2843,690,7.8102
29-Dec,581,6.733132720035299,652,7.43,773,8.6932
05-Jan,543,6.28860899168759,652,7.4027,733,8.2966
12-Jan,514,6.053317190343362,650,7.3827,650,7.3572
19-Jan,564,6.583270437566026,633,7.416,710,8.1323
26-Jan,642,7.596348693867147,718,8.3828,765,8.9589
02-Feb,652,7.829834589554782,822,9.7175,667,7.7636
09-Feb,763,9.248264213512872,865,10.5308,849,9.944
16-Feb,746,9.006869213559419,845,10.2391,844,10.0342
23-Feb,684,8.27151755261219,836,10.1585,802,9.5624
