Week,17_18_n,17_18_ASR,18_19_n,18_19_ASR,19_20_n,19-20_ASR
01-Sep,155,1.6417796155796653,282,2.944805574516902,286,2.9196874886796462
08-Sep,117,1.2243847715964984,271,2.8266566597069005,270,2.755864053095913
15-Sep,149,1.5311824260916034,305,3.1207654964421634,305,3.072470538121988
22-Sep,124,1.2977804156645494,308,3.1494028124109525,302,3.114155579429225
29-Sep,149,1.5818118176448188,273,2.8318468677957895,284,2.8739890693783234
06-Oct,124,1.314220184984107,329,3.385375667217949,293,2.9665948454342246
13-Oct,131,1.418986041315627,291,3.0289584000039342,338,3.4237976835956685
20-Oct,133,1.4017656514233043,312,3.1874063176519956,278,2.814090796182602
27-Oct,132,1.3877840860566892,264,2.817264752226625,301,2.9952405120941723
03-Nov,138,1.4531824720796294,259,2.7433923030444065,291,2.945816319731852
10-Nov,144,1.567188999127106,290,3.024189846451595,296,2.9883982705677785
17-Nov,129,1.3705950547895376,286,2.953937943802934,267,2.7255117567378786
24-Nov,135,1.4423185503140177,280,2.9013526262942504,273,2.7932897330910063
01-Dec,146,1.6114736778507113,297,3.041049644030448,285,2.896183176275887
08-Dec,170,1.7932070547498635,286,2.9431239078583746,281,2.884261180138168
15-Dec,142,1.5641287901448993,267,2.761111195535346,269,2.697186543470581
22-Dec,132,1.3637575812075546,265,2.736633297946049,296,2.969122844379536
29-Dec,136,1.4256901223309786,278,2.883283570867389,284,2.7896081618756945
05-Jan,138,1.4489286869147482,296,3.1040806599499073,308,3.1088481722667933
12-Jan,136,1.452968514027061,294,3.0115129423801457,287,2.8748393087192308
19-Jan,114,1.2471714168098629,299,3.0791792784441125,325,3.286008365241389
26-Jan,138,1.4714688010995092,251,2.5513886837970055,301,3.0930809637308556
02-Feb,120,1.2476683295221251,296,3.1005060250927388,280,2.8354709486598875
09-Feb,135,1.4374367270741546,285,2.976445187444562,283,2.864916775916692
16-Feb,130,1.381953679703768,281,2.9053145388877,293,2.94953323640098
23-Feb,139,1.4876444655481427,286,2.9569459488994854,265,2.6675285383874696
