Week,17_18_n,17_18_ASR,18_19_n,18_19_ASR,19_20_n,19-20_ASR
01-Sep,2264,27.4202,2415,28.4386,2388,27.9598
08-Sep,2213,26.4568,2409,28.533,2454,28.6478
15-Sep,2140,25.7794,2241,26.539,2579,30.0918
22-Sep,2050,24.7026,2218,26.4088,2536,29.4677
29-Sep,2160,25.7772,2156,25.4916,2289,26.5111
06-Oct,2283,27.6315,2450,29.1757,2464,28.5934
13-Oct,2208,26.6442,2390,28.3323,2593,30.067
20-Oct,2121,25.8153,2273,26.8452,2304,26.8485
27-Oct,2122,25.6646,2198,26.0308,2369,27.3915
03-Nov,2162,26.087,2401,28.753,2281,26.6571
10-Nov,2166,26.1776,2362,28.0459,2232,26.0085
17-Nov,2251,27.267,2375,28.0459,2295,26.8956
24-Nov,2075,25.1364,2277,27.0971,2336,27.1849
01-Dec,2052,24.6159,2392,28.4085,2381,27.9263
08-Dec,1948,23.4087,2351,27.7523,2477,28.7891
15-Dec,2058,24.855,2394,28.1165,2224,25.8592
22-Dec,1900,22.7833,1957,22.8364,2101,24.2928
29-Dec,2146,25.7894,2349,27.7392,2294,26.6823
05-Jan,2098,25.3484,2330,27.441,2475,28.9524
12-Jan,2219,26.6825,2312,27.4575,2373,27.5878
19-Jan,2086,25.1497,2353,28.0898,2578,29.872
26-Jan,2158,26.0073,2229,26.5752,2495,29.3041
02-Feb,2111,25.5123,2385,28.2937,2374,27.6273
09-Feb,2171,26.4376,2270,26.887,2546,29.6595
16-Feb,2217,26.6773,2535,29.9005,2442,28.6224
23-Feb,2232,26.9654,2566,30.5104,2314,27.0803
