Week,17_18_n,17_18_ASR,18_19_n,18_19_ASR,19_20_n,19-20_ASR
01-Sep,1762,19.0079639944039,1423,15.0475776209991,1480,15.3425975992342
08-Sep,1759,18.8815565790481,1469,15.5980897249258,1457,15.0334526307163
15-Sep,1683,17.9801568796792,1461,15.5283653567506,1486,15.2862990764055
22-Sep,1563,16.862836796102,1429,15.1120197161329,1450,15.0728401619278
29-Sep,1489,16.0959081354031,1407,14.9397849801214,1504,15.6204904164735
06-Oct,1577,16.8382520964068,1459,15.3268011582894,1362,14.1195902650932
13-Oct,1494,16.0702183401356,1453,15.47088529332,1515,15.7813370070074
20-Oct,1477,16.0251702278338,1420,15.1917472394783,1379,14.3674852378601
27-Oct,1501,16.3083616004602,1368,14.5493282397334,1361,14.1081126064713
03-Nov,1506,16.0904227285526,1354,14.3117837094989,1359,14.0100082922429
10-Nov,1544,16.5830410555741,1374,14.6171851124659,1263,13.0867426182279
17-Nov,1468,16.0629272499205,1359,14.5101260023722,1283,13.3820739436794
24-Nov,1558,16.9121906544602,1425,15.2231936562032,1320,13.7185088585004
01-Dec,1503,16.2599133118195,1398,14.9499669825024,1296,13.5251039721985
08-Dec,1440,15.7057957666185,1325,14.0800658666639,1318,13.8165032244991
15-Dec,1405,15.2566547328512,1341,14.2210578693189,1325,13.7799198253244
22-Dec,1404,15.1502736296999,1203,12.7436565760081,1195,12.3501361435241
29-Dec,1466,15.8014937144037,1343,14.2280075268758,1338,14.0647467733905
05-Jan,1431,15.4248733579766,1328,14.0825056508512,1287,13.4043124465126
12-Jan,1496,16.1789010328951,1249,13.3918810085888,1367,14.3598563524487
19-Jan,1421,15.394164021761,1303,13.8183107044432,1415,14.7440458541154
26-Jan,1360,14.8056823984757,1240,12.9868098564304,1258,13.2097154414401
02-Feb,1379,14.8325542338721,1286,13.6026740926521,1281,13.4755313550987
09-Feb,1460,15.9797262745803,1283,13.7128524923252,1354,14.1031145745797
16-Feb,1379,14.9352639949773,1318,14.1032339524836,1324,13.7753743145093
23-Feb,1537,16.5528670633248,1321,14.2056585646667,1277,13.370061586063
