Week,17_18_n,17_18_ASR,18_19_n,18_19_ASR,19_20_n,19-20_ASR
01-Sep,1733,22.42311955076392,1895,24.211122962472814,1890,23.872549742640498
08-Sep,1671,21.646741812717742,1962,25.213192549244894,1905,24.072463540157223
15-Sep,1733,22.500529288603236,2003,25.648871308252588,1979,24.977615592647197
22-Sep,1748,22.401744606168528,1921,24.67873433132275,2036,25.801378245044024
29-Sep,1723,22.18350959228083,1889,24.044573077031476,1833,23.000132890352244
06-Oct,1770,22.927070488838567,1888,23.99013653915433,1895,23.799167330537276
13-Oct,1858,24.18274615482322,2041,26.11379417632063,1972,24.82713004469355
20-Oct,1840,23.961901383345896,2093,26.851167105503336,1959,24.787591626469712
27-Oct,1870,24.260822521446332,2116,27.245924065124115,2014,25.516979849295797
03-Nov,1835,23.828515814664257,2170,27.902630954982353,2038,27.505427419614875
10-Nov,1853,24.101418576784127,2040,26.214745775486133,1890,23.90133474800031
17-Nov,1939,25.33753810459342,1999,25.639291670462082,1954,24.76472659491425
24-Nov,2019,26.224578339482658,1934,24.86799711028885,2110,26.72749096742977
01-Dec,1869,24.364361539047028,2103,27.001118926103306,1999,25.183686653432495
08-Dec,1944,24.988016670908998,2064,26.364281826013137,1982,24.95627373095783
15-Dec,1856,24.000203993934136,2119,27.12837031486223,2001,25.086537991422343
22-Dec,1912,24.78143285719412,1910,24.366293339080602,1960,24.582706227159225
29-Dec,2043,26.593289869774978,2367,30.189291604548398,2199,27.706960372111563
05-Jan,1892,24.484306925835725,1991,25.40994570223093,1941,24.31973014998741
12-Jan,1815,23.50453985228841,2028,25.768350901528038,1860,23.391789348984364
19-Jan,1945,25.17831236115981,1960,25.029086664224725,1958,24.699507019426512
26-Jan,1966,25.48227983229066,2153,27.425948016559982,2038,25.668827601990078
02-Feb,1877,24.2632151595062,2023,25.734910960340688,1788,22.613440055112246
09-Feb,1969,25.5640087135963,2045,26.042289816502475,1923,24.123287760411557
16-Feb,1969,25.436541624193392,2036,26.12327057032707,1936,24.26071174003395
23-Feb,1931,25.220940166382086,2117,27.189625014815032,1949,24.60183793473422
