Week,17_18_n,17_18_ASR,18_19_n,18_19_ASR,19_20_n,19-20_ASR
01-Sep,6706,82.43334549867774,5182,63.65488011578142,5736,69.52753531585638
08-Sep,6482,79.52994619311869,5185,63.66589871228843,5258,63.991854549063994
15-Sep,6073,74.70210973486422,4866,59.66460697898005,5196,63.388364490195315
22-Sep,5762,70.68784702942645,4757,58.517148804433845,5024,61.27259677302444
29-Sep,5240,64.47616401057573,5050,62.15509361500586,5032,61.096804961567855
06-Oct,4156,50.81779565651942,4222,51.21926584039317,4823,57.985178193372455
13-Oct,3640,44.918175805049984,4090,49.71983567112917,4140,49.72304326313472
20-Oct,3871,48.328156371744484,3942,48.26383867522626,4108,49.330062657062946
27-Oct,3976,49.6839674870987,3956,48.57066503219515,4174,50.5248324259685
03-Nov,3790,47.42998609647849,4072,50.03731047581118,4122,49.835944411482465
10-Nov,3889,48.44658819796827,3765,45.81612541235621,4177,50.91108893255366
17-Nov,3645,45.12007595818126,3763,46.02161924257372,4105,49.729293734839786
24-Nov,3579,44.31567720886322,3746,45.86979665559267,3882,47.0341090333444
01-Dec,3261,40.23137609749416,3671,44.80362549587899,4142,50.30338127368215
08-Dec,3357,41.6802652830758,3578,43.66808773041765,4223,51.29505790393905
15-Dec,3529,44.066150789051505,3474,42.22090133741079,4227,51.48428531312684
22-Dec,4418,54.86834020793989,4498,55.3836205577722,4946,59.972439541383224
29-Dec,4022,49.422927860125526,4208,50.944531490633906,4814,57.673700372419155
05-Jan,3200,39.29942908531159,3264,39.66717754024086,3691,43.699399030931374
12-Jan,2838,34.71463328060109,2934,35.659842300273915,3113,36.96906747551187
19-Jan,2915,35.74633199517886,3063,37.25022707347975,3408,40.7506672029349
26-Jan,3019,37.471977076396044,3486,42.923304316442795,4276,52.37266951298576
02-Feb,3102,38.73539194330075,3485,43.13940030116532,3802,46.85834949297734
09-Feb,3604,45.33939283142873,3962,49.40758877536837,3781,46.201686166559284
16-Feb,3496,43.75451179112177,4213,52.502223986865445,4384,54.359250695978695
23-Feb,3446,43.13304186936781,4112,51.218035173454325,4460,55.0899353886735
